iRingo.WeatherKit.plugin	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/iRingo.WeatherKit.plugin	4227	sha256:3d6b7870ca10fef8a394a827acdd6a18914392dc11be44a91d0622b3db422e13
iRingo.WeatherKit.sgmodule	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/iRingo.WeatherKit.sgmodule	5917	sha256:30707eb06ea0fb30ebf3aa7a6bb95798a3ed546832720154d3c02e35f9854546
iRingo.WeatherKit.snippet	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/iRingo.WeatherKit.snippet	1936	sha256:5e58ba40e56b498883ad1a0c90b9a55668c1b6ed1738351290055f273d9882ed
iRingo.WeatherKit.stoverride	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/iRingo.WeatherKit.stoverride	2489	sha256:0dae58c56ce22b842bbcf893221fe149ac0d2c6b02eb2069faad05050dd11ddf
request.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/request.bundle.js	148268	sha256:cc4168a2e215204d9cd3c2349901fdf9c4bf243dd23e67ed2008828185fd449c
response.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta4/response.bundle.js	258057	sha256:0ed1e570c11e2eb79d75919a482b551c48d0bd6bc4a32d78b0c8c3c437d6a8dd
