iRingo.WeatherKit.plugin	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/iRingo.WeatherKit.plugin	4243	sha256:5048baffcf509aeb7abe85a1bc61c0bdf97f8c6f83e7f146752332e6eaf03f94
iRingo.WeatherKit.sgmodule	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/iRingo.WeatherKit.sgmodule	5933	sha256:3d2304f8572f237d70f15f4b15121ebc4ce5e9575fe37cabc495ab6dccf93d35
iRingo.WeatherKit.snippet	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/iRingo.WeatherKit.snippet	1952	sha256:4851a7daedc5015b5399d57b975e2d3ff721cfa9bc4607e7083069e226239a3e
iRingo.WeatherKit.stoverride	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/iRingo.WeatherKit.stoverride	2505	sha256:f22fa34d30527ed0d6570f91efff3642837b002116438449a4c73f5eb91f4494
request.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/request.bundle.js	148268	sha256:d6d64e6b087626df366176d64b41dc5efdd41de28adebc2a25df9f3b69754f02
response.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta3/response.bundle.js	258057	sha256:dfd36f94d82a9c41bb7c85353f2bd70a2e941f191bdacf1ef9f85fa5733a5df4
