iRingo.WeatherKit.plugin	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/iRingo.WeatherKit.plugin	3819	sha256:2e12d6132abcafb83a2f3e561478f66afb9ddd30a94eca160bd53529fb3200eb
iRingo.WeatherKit.sgmodule	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/iRingo.WeatherKit.sgmodule	5493	sha256:7c16e23db5237cf115227443214d9efb74cc193c139144bc552c241bef560eb5
iRingo.WeatherKit.snippet	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/iRingo.WeatherKit.snippet	1553	sha256:eb46c4db6bcd56174ae46c19fd249e11fce6fad341d1a8ded098876dfd55b5bf
iRingo.WeatherKit.stoverride	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/iRingo.WeatherKit.stoverride	2048	sha256:ecba732bf90523d0b091f4343c0693b350a4b8c0306ea0d28d04a559cfec9a7d
request.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/request.bundle.js	235357	sha256:34dcebd646c985d869f561356a250a697b96b9a0d95140e19d76480d5bbe2f7d
response.bundle.js	https://github.com/NSRingo/WeatherKit/releases/download/v3.2.0-beta5/response.bundle.js	265235	sha256:8ac4ee43c7559c28bdf6be41cef9ec73e015f02a20bd9166460153850e28c409
